RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
42910,9103,JACKSON AVE SE,Minor Arterial,2,668,Urban,668,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,17,NA,3,NA,6,NA,NA,1,0,1,1,17,17
42910,9103,JACKSON AVE SE,Minor Arterial,2,668,Urban,668,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,84,NA,3,NA,6,NA,NA,1,0,1,1,84,84
42910,9103,JACKSON AVE SE,Minor Arterial,2,668,Urban,668,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,203,NA,3,3,6,NA,NA,1,1,2,2,203,406
42910,9103,JACKSON AVE SE,Minor Arterial,2,668,Urban,668,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,16,NA,NA,3,6,NA,NA,0,1,1,1,16,16
42910,9103,JACKSON AVE SE,Minor Arterial,2,668,Urban,668,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,82,NA,NA,3,6,NA,NA,0,1,1,1,82,82
43936,15360,KELOWNA PL SE,Local Access,2,745,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,745,0
43936,15361,KELOWNA PL SE,Local Access,2,104,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,104,0
42910,14540,JACKSON AVE SE,Minor Arterial,2,662,Urban,662,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,201,NA,3,3,6,NA,NA,1,1,2,2,201,402
42710,4647,HIGGINS RD SE,Local Access,2,331,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,331,0
43370,2933,PINE TREE DR SE,Local Access,2,303,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,303,0
43580,3659,RED SPRUCE DR SE,Local Access,2,470,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,470,0
43010,14355,FRONTAGE RD SE,Local Access,2,837,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,837,0
43770,3028,SEQUOIA ST SE,Local Access,2,197,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,197,0
43370,8383,PINE TREE DR SE,Local Access,2,1376,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1376,0
43570,11562,PARKWOOD DR SE,Local Access,2,1283,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1283,0
43390,450,PINE CONE CT SE,Local Access,2,151,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,151,0
43700,3433,SE ROSE CT,Local Access,2,389,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,389,0
42560,2089,SE FIR ST,Local Access,2,660,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660,0
43010,14350,FRONTAGE RD SE,Local Access,2,521,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,521,0
40700,7981,LUND AVE SE,Major Collector,2,642,Urban,642,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,195,NA,5,5,6,NA,NA,1,1,2,2,195,390
40700,11490,LUND AVE SE,Local Access,2,671,Urban,671,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,48,NA,NA,5,5,NA,NA,0,2,2,2,48,96
40700,11490,LUND AVE SE,Local Access,2,671,Urban,671,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,49,NA,5,NA,5,NA,NA,2,0,2,2,49,98
40700,10332,LUND AVE SE,Major Collector,2,541,Urban,541,15,Marcus Whitman Junior High,2,Marcus Whitman Junior High,138,NA,5,5,6,NA,NA,1,1,2,2,138,276
