RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
16330,13999,S NATIONAL AVE,Major Collector,2,178,Urban,178,15,West Hills STEM Academy,2,West Hills STEM Academy,54,NA,NA,3,NA,6,NA,1,0,1,1,54,54
16330,13974,S NATIONAL AVE,Major Collector,2,85,Urban,85,15,West Hills STEM Academy,2,West Hills STEM Academy,26,NA,NA,3,NA,6,NA,1,0,1,1,26,26
17045,14001,W G ST,Local Access,2,649,Urban,649,15,West Hills STEM Academy,2,West Hills STEM Academy,197,NA,NA,2,2,5,NA,1,1,2,2,197,394
17045,14001,W G ST,Local Access,2,649,Urban,649,15,West Hills STEM Academy,2,West Hills STEM Academy,52,NA,NA,2,2,5,NA,1,1,2,2,52,104
16330,13963,S NATIONAL AVE,Major Collector,2,120,Urban,120,15,West Hills STEM Academy,2,West Hills STEM Academy,36,NA,NA,3,NA,6,NA,1,0,1,1,36,36
16770,13978,CHARLOTTE AVE W,Local Access,2,269,Urban,269,15,West Hills STEM Academy,2,West Hills STEM Academy,82,NA,NA,2,2,5,NA,1,1,2,2,82,164
16330,13962,S NATIONAL AVE,Major Collector,2,239,Urban,239,15,West Hills STEM Academy,2,West Hills STEM Academy,73,NA,NA,3,NA,6,NA,1,0,1,1,73,73
16520,13770,AUDREY AVE W,Local Access,2,244,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,244,0
16960,11887,S SUMMIT AVE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
17400,13994,W LOXIE EAGANS BLVD,Minor Arterial,2,434,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,434,0
17402,3360,W WERNER RD,Major Collector,2,326,Urban,326,15,West Hills STEM Academy,2,West Hills STEM Academy,20,NA,NA,4,4,6,NA,1,1,2,2,20,40
16829,13984,BREMERTON BLVD W,Local Access,2,92,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92,0
16960,7664,S SUMMIT AVE,Local Access,2,83,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,83,0
16330,14010,S NATIONAL AVE,Minor Arterial,2,620,Urban,620,15,West Hills STEM Academy,2,West Hills STEM Academy,189,NA,NA,5,5,6,NA,1,1,2,2,189,378
16330,14015,S NATIONAL AVE,Minor Arterial,2,782,Urban,782,15,West Hills STEM Academy,2,West Hills STEM Academy,53,NA,NA,6,6,6,NA,2,2,4,4,53,212
16330,14015,S NATIONAL AVE,Minor Arterial,2,782,Urban,782,15,West Hills STEM Academy,2,West Hills STEM Academy,238,NA,NA,5,5,6,NA,1,1,2,2,238,476
17180,13971,PREBLE ST,Major Collector,2,641,Urban,641,15,West Hills STEM Academy,2,West Hills STEM Academy,46,NA,NA,4,4,6,NA,1,1,2,2,46,92
17180,13993,PREBLE ST,Major Collector,2,664,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,664,0
17130,18414,MCCOLLUM AVE,Local Access,2,35,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,0
17619,18581,W ARSENAL WAY,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
