RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
57023,8901,NW GREEN HILL CT,Local Access,2,397,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,397,0
57015,4681,NW SOLNAE PL,Local Access,2,1040,Urban,1040,15,Cottonwood Elementary,2,Cottonwood Elementary,316,NA,3,NA,NA,5,NA,0,1,1,1,316,316
56201,1747,SHADY FOREST PL NE,Local Access,2,182,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182,0
57010,12957,NW DONCEE DR,Local Access,2,838,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,838,0
56190,5693,OLD MILITARY RD NE,Major Collector,2,417,Urban,417,15,Cottonwood Elementary,2,Cottonwood Elementary,51,NA,NA,4,4,6,NA,1,1,2,2,51,102
56190,5693,OLD MILITARY RD NE,Major Collector,2,417,Urban,417,15,Cottonwood Elementary,2,Cottonwood Elementary,127,NA,NA,2,4,6,NA,1,1,2,2,127,254
57013,10524,PERRY CT NE,Local Access,2,175,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,175,0
57016,3896,NW FIRWAY LN,Local Access,2,345,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,345,0
56965,2321,BENDER CIR NE,Local Access,2,105,Urban,105,15,Cottonwood Elementary,2,Cottonwood Elementary,32,5,NA,NA,NA,5,NA,5,0,5,5,32,160
56965,11088,BENDER CIR NE,Local Access,2,1106,Urban,1106,15,Cottonwood Elementary,2,Cottonwood Elementary,111,5,NA,NA,NA,5,NA,5,0,5,5,111,555
59050,15063,CENTRAL VALLEY RD NE,Minor Arterial,2,435,Urban,435,15,Cottonwood Elementary,2,Cottonwood Elementary,132,NA,NA,5,5,6,NA,1,1,2,2,132,264
59050,4088,CENTRAL VALLEY RD NE,Minor Arterial,2,225,Urban,225,15,Cottonwood Elementary,2,Cottonwood Elementary,51,NA,NA,5,5,6,NA,1,1,2,2,51,102
59050,4088,CENTRAL VALLEY RD NE,Minor Arterial,2,225,Urban,225,15,Cottonwood Elementary,2,Cottonwood Elementary,68,NA,NA,5,5,6,NA,1,1,2,2,68,136
59050,5114,CENTRAL VALLEY RD NE,Minor Arterial,2,192,Urban,192,15,Cottonwood Elementary,2,Cottonwood Elementary,58,NA,NA,5,5,6,NA,1,1,2,2,58,116
59050,7381,CENTRAL VALLEY RD NE,Minor Arterial,2,656,Urban,656,15,Cottonwood Elementary,2,Cottonwood Elementary,200,NA,NA,5,5,6,NA,1,1,2,2,200,400
59050,7381,CENTRAL VALLEY RD NE,Minor Arterial,2,656,Urban,656,15,Cottonwood Elementary,2,Cottonwood Elementary,1,NA,NA,5,5,6,NA,1,1,2,2,1,2
59050,8478,CENTRAL VALLEY RD NE,Minor Arterial,2,1151,Urban,1151,15,Cottonwood Elementary,2,Cottonwood Elementary,50,NA,NA,5,5,6,NA,1,1,2,2,50,100
59050,8478,CENTRAL VALLEY RD NE,Minor Arterial,2,1151,Urban,1151,15,Cottonwood Elementary,2,Cottonwood Elementary,350,NA,NA,5,5,6,NA,1,1,2,2,350,700
59050,11739,CENTRAL VALLEY RD NE,Minor Arterial,2,589,Urban,589,15,Cottonwood Elementary,2,Cottonwood Elementary,179,NA,NA,5,5,6,NA,1,1,2,2,179,358
59050,13290,CENTRAL VALLEY RD NE,Minor Arterial,2,162,Urban,162,15,Cottonwood Elementary,2,Cottonwood Elementary,49,NA,NA,5,5,6,NA,1,1,2,2,49,98
59050,2447,CENTRAL VALLEY RD NE,Minor Arterial,2,207,Urban,207,15,Cottonwood Elementary,2,Cottonwood Elementary,63,NA,NA,5,5,6,NA,1,1,2,2,63,126
56190,2711,OLD MILITARY RD NE,Major Collector,2,614,Urban,614,15,Cottonwood Elementary,2,Cottonwood Elementary,187,NA,NA,2,4,6,NA,1,1,2,2,187,374
56190,16335,OLD MILITARY RD NE,Major Collector,2,491,Urban,491,15,Cottonwood Elementary,2,Cottonwood Elementary,149,NA,NA,2,4,6,NA,1,1,2,2,149,298
57005,9631,CANTERSHIRE AVE NE,Local Access,2,518,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,518,0
56190,18626,OLD MILITARY RD NE,Major Collector,2,307,Urban,307,15,Cottonwood Elementary,2,Cottonwood Elementary,11,NA,NA,2,4,6,NA,1,1,2,2,11,22
56190,9914,OLD MILITARY RD NE,Major Collector,2,201,Urban,201,15,Cottonwood Elementary,2,Cottonwood Elementary,61,NA,NA,2,4,6,NA,1,1,2,2,61,122
59050,10407,CENTRAL VALLEY RD NE,Minor Arterial,2,442,Urban,442,15,Cottonwood Elementary,2,Cottonwood Elementary,134,NA,NA,5,5,6,NA,1,1,2,2,134,268
59050,10407,CENTRAL VALLEY RD NE,Minor Arterial,2,442,Urban,442,15,Cottonwood Elementary,2,Cottonwood Elementary,52,NA,NA,NA,5,6,NA,0,1,1,1,52,52
59050,10407,CENTRAL VALLEY RD NE,Minor Arterial,2,442,Urban,442,15,Cottonwood Elementary,2,Cottonwood Elementary,50,NA,NA,5,NA,6,NA,1,0,1,1,50,50
57014,12983,NW BRIDLE RIDGE BLVD,Local Access,2,390,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,390,0
56190,1761,OLD MILITARY RD NE,Major Collector,2,187,Urban,187,15,Cottonwood Elementary,2,Cottonwood Elementary,57,NA,NA,4,4,6,NA,1,1,2,2,57,114
56190,1761,OLD MILITARY RD NE,Major Collector,2,187,Urban,187,15,Cottonwood Elementary,2,Cottonwood Elementary,51,NA,NA,2,4,6,NA,1,1,2,2,51,102
56990,12093,NE WATSON CT,Local Access,2,649,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,649,0
56986,3221,COVINA LOOP NE,Local Access,2,320,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,320,0
56986,9202,COVINA LOOP NE,Local Access,2,1477,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1477,0
56190,18627,OLD MILITARY RD NE,Major Collector,2,252,Urban,252,15,Cottonwood Elementary,2,Cottonwood Elementary,71,NA,NA,2,4,6,NA,1,1,2,2,71,142
56990,15071,NE WATSON CT,Local Access,2,607,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,607,0
56990,430,NE WATSON CT,Local Access,2,174,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
57740,10879,NW BUCKLIN HILL RD,Minor Arterial,2,1543,Urban,1543,15,Cottonwood Elementary,2,Cottonwood Elementary,149,NA,NA,8,6,6,NA,2,2,4,4,149,596
56967,12507,HICKORY PL NE,Local Access,2,756,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,756,0
56998,7035,NW MEADOW LN,Local Access,2,564,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,564,0
57001,6215,NE TOWNE RD,Local Access,2,243,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
57014,1309,NW BRIDLE RIDGE BLVD,Local Access,2,694,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,694,0
56967,14170,HICKORY PL NE,Local Access,2,483,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,483,0
57009,3998,HILLRISE CT NE,Local Access,2,636,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,636,0
57003,2836,CANTERSHIRE CT NE,Local Access,2,256,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,256,0
57007,6269,HILLRISE PL NE,Local Access,2,314,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,314,0
56193,907,OVERLOOK CIR NE,Local Access,2,453,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,453,0
57015,11007,NW SOLNAE PL,Local Access,2,400,Urban,400,15,Cottonwood Elementary,2,Cottonwood Elementary,121,NA,3,NA,NA,5,NA,0,1,1,1,121,121
57011,1330,CANTERSHIRE PL NE,Local Access,2,463,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,463,0
57012,385,NE TOWNE CT,Local Access,2,142,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142,0
57008,1727,NE TOWNE PL,Local Access,2,129,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,129,0
57001,12394,TOWNE RD NE,Local Access,2,508,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,508,0
56191,10631,NE STEELE CREEK DR,Local Access,2,211,Urban,211,15,Cottonwood Elementary,2,Cottonwood Elementary,62,3,NA,NA,NA,5,NA,1,0,1,1,62,62
56191,11648,NE STEELE CREEK DR,Local Access,2,1111,Urban,1111,15,Cottonwood Elementary,2,Cottonwood Elementary,205,3,NA,NA,NA,5,NA,1,0,1,1,205,205
56192,6268,STEELE CREEK LOOP NE,Local Access,2,1461,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1461,0
56191,8438,NE STEELE CREEK DR,Local Access,2,208,Urban,208,15,Cottonwood Elementary,2,Cottonwood Elementary,42,3,NA,NA,NA,5,NA,1,0,1,1,42,42
56200,2070,NE SHADYBROOK CT,Local Access,2,564,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,564,0
57006,14318,TOWNE RD NE,Local Access,2,100,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0
56991,12066,WATSON PL NE,Local Access,2,714,Urban,714,15,Cottonwood Elementary,2,Cottonwood Elementary,217,3,NA,NA,NA,5,NA,1,0,1,1,217,217
56200,3736,NE SHADYBROOK CT,Local Access,2,436,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,436,0
57001,4537,NE TOWNE RD,Local Access,2,625,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,625,0
