RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72200,12269,NE SOUTH ST,Local Access,1,213,Rural,213,15,Suquamish Park & Ride,2,Suquamish Park & Ride,54,5,NA,NA,NA,NA,3,5,0,5,5,54,270
72200,9362,NE SOUTH ST,Local Access,1,118,Rural,118,15,Suquamish Park & Ride,2,Suquamish Park & Ride,35,5,NA,NA,NA,NA,3,5,0,5,5,35,175
72200,4656,NE SOUTH ST,Local Access,1,307,Rural,307,15,Suquamish Park & Ride,2,Suquamish Park & Ride,86,5,NA,NA,NA,NA,3,5,0,5,5,86,430
72200,888,NE SOUTH ST,Local Access,1,336,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,336,0
72200,5876,NE SOUTH ST,Local Access,1,97,Rural,97,15,Suquamish Park & Ride,2,Suquamish Park & Ride,29,5,NA,NA,NA,NA,3,5,0,5,5,29,145
72200,8820,NE SOUTH ST,Local Access,1,421,Rural,421,15,Suquamish Park & Ride,2,Suquamish Park & Ride,128,5,NA,NA,NA,NA,3,5,0,5,5,128,640
72670,11639,1ST AVE NE,Local Access,1,701,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,701,0
71930,4493,NE JONES ST,Local Access,1,407,Rural,407,15,Suquamish Park & Ride,2,Suquamish Park & Ride,48,NA,NA,1,1,NA,3,1,1,2,2,48,96
72540,11289,NE FIR ST,Local Access,1,467,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,467,0
71991,9746,DIVISION AVE NE,Local Access,1,889,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,889,0
71991,8396,DIVISION AVE NE,Local Access,1,548,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,548,0
70320,12617,AUGUSTA AVE NE,Minor Arterial,1,672,Rural,672,15,Suquamish Park & Ride,2,Suquamish Park & Ride,204,NA,NA,2,2,NA,4,1,1,2,2,204,408
72740,10274,NE CENTER ST,Local Access,1,238,Rural,238,15,Suquamish Park & Ride,2,Suquamish Park & Ride,72,NA,NA,3,3,NA,3,5,5,10,10,72,720
72110,10866,ANGELINE AVENUE SOUTH NE,Local Access,1,971,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,971,0
