RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
19804,11148,NW DISCOVERY RIDGE CT,Local Access,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
19814,3902,GLACIER VIEW DR NW,Local Access,2,481,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,481,0
19812,10485,MORNING SIDE DR NW,Local Access,2,1610,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1610,0
19804,8535,NW DISCOVERY RIDGE CT,Local Access,2,670,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,670,0
19807,6393,NW CASCADE ST,Local Access,2,432,Urban,432,15,Silverdale Elementary,2,Silverdale Elementary,131,3,NA,NA,5,NA,NA,0,1,1,1,131,131
19807,4590,NW CASCADE ST,Local Access,2,787,Urban,787,15,Silverdale Elementary,2,Silverdale Elementary,239,3,NA,NA,5,NA,NA,0,1,1,1,239,239
19804,5603,NW DISCOVERY RIDGE CT,Local Access,2,185,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185,0
19808,4161,NW DREAM CT,Local Access,2,967,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,967,0
19804,3583,NW DISCOVERY RIDGE CT,Local Access,2,262,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
19804,9825,NW DISCOVERY RIDGE CT,Local Access,2,540,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,540,0
19818,11474,NW WHISPER ST,Local Access,2,1214,Urban,1214,15,Silverdale Elementary,2,Silverdale Elementary,240,3,NA,NA,5,NA,NA,0,1,1,1,240,240
19817,4086,DAVIS PL NW,Local Access,2,398,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,398,0
13840,6339,NW KNUTE ANDERSON RD,Local Access,2,1647,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1647,0
13840,7250,NW KNUTE ANDERSON RD,Local Access,2,181,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,0
13771,268,DICKEY PL NW,Local Access,2,693,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,693,0
13840,408,NW KNUTE ANDERSON RD,Local Access,2,125,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,0
13840,831,NW KNUTE ANDERSON RD,Local Access,2,1617,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1617,0
19811,242,NW MYSTIC CT,Local Access,2,315,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
19809,9092,ENCHANTMENT AVE NW,Local Access,2,638,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,638,0
13771,2909,DICKEY PL NW,Local Access,2,317,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,317,0
13840,14334,NW KNUTE ANDERSON RD,Local Access,2,21,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0
