RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
53970,1345,PETERSVILLE RD NE,Major Collector,2,1311,Urban,1311,Bremerton East UGA,Bremerton East UGA,1311,NA,NA,3,NA,6,NA,0,1,1,1,1311,1311
50509,10313,TRACYTON BEACH RD NW,Major Collector,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
55270,321,ESSEX ST NW,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
50509,10262,TRACYTON BEACH RD NW,Major Collector,2,1114,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1114,0
50509,16646,TRACYTON BEACH RD NW,Major Collector,2,1758,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1758,0
5030,11170,NE 31ST ST,Local Access,2,25,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,0
50509,1439,TRACYTON BEACH RD NW,Major Collector,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
53820,12263,NE NORMANDY DR,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
54600,1954,NE RIDDELL RD,Minor Arterial,2,0,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
53540,8288,NE PINEWOOD DR,Local Access,2,264,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
51690,11402,PINE RD NE,Major Collector,2,196,Urban,196,Bremerton East UGA,Bremerton East UGA,25,NA,NA,4,5,6,NA,1,1,2,2,25,50
51690,11402,PINE RD NE,Major Collector,2,196,Urban,196,Bremerton East UGA,Bremerton East UGA,171,NA,NA,4,4,6,NA,1,1,2,2,171,342
51690,636,PINE RD NE,Major Collector,2,317,Urban,317,Bremerton East UGA,Bremerton East UGA,317,NA,NA,4,4,6,NA,1,1,2,2,317,634
54600,2060,NE RIDDELL RD,Minor Arterial,2,543,Urban,543,Bremerton East UGA,Bremerton East UGA,257,NA,NA,4,NA,6,NA,0,1,1,1,257,257
54600,5916,NE RIDDELL RD,Minor Arterial,2,373,Urban,373,Bremerton East UGA,Bremerton East UGA,266,NA,NA,4,NA,6,NA,0,1,1,1,266,266
53540,11566,NE PINEWOOD DR,Local Access,2,274,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,274,0
51102,5909,GERARD PL E,Local Access,2,181,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,181,0
53530,12154,BENITA PL NE,Local Access,2,558,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,558,0
51101,3333,E 29TH ST,Local Access,2,267,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,267,0
53645,303,NE PINECONE DR,Local Access,2,990,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,990,0
50509,9231,TRACYTON BEACH RD NW,Major Collector,2,373,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,373,0
50509,5954,TRACYTON BEACH RD NW,Major Collector,2,307,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,307,0
53770,1840,NEEDLE CT NE,Local Access,2,159,Urban,159,Bremerton East UGA,Bremerton East UGA,139,NA,NA,1,1,5,NA,1,1,2,2,139,278
53710,7413,PINE CT NE,Local Access,2,154,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,154,0
53590,6488,PINECONE CT NE,Local Access,2,311,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,311,0
53530,8556,BENITA PL NE,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
51690,2039,PINE RD NE,Major Collector,2,285,Urban,285,Bremerton East UGA,Bremerton East UGA,285,NA,NA,4,4,6,NA,1,1,2,2,285,570
53810,585,CLOGSTON AVE NE,Local Access,2,161,Urban,161,Bremerton East UGA,Bremerton East UGA,161,3,NA,NA,NA,5,NA,1,0,1,1,161,161
53800,7973,NE ROSWELL DR,Local Access,2,922,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,922,0
51690,38,PINE RD NE,Major Collector,2,90,Urban,90,Bremerton East UGA,Bremerton East UGA,90,NA,NA,4,4,6,NA,1,1,2,2,90,180
53810,5305,CLOGSTON AVE NE,Local Access,2,430,Urban,430,Bremerton East UGA,Bremerton East UGA,427,3,NA,NA,NA,5,NA,1,0,1,1,427,427
53820,6901,NE NORMANDY DR,Local Access,2,888,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,888,0
53645,299,NE PINECONE DR,Local Access,2,144,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144,0
53840,12111,NE DAVID DR,Local Access,2,2277,Urban,2277,Bremerton East UGA,Bremerton East UGA,1319,NA,NA,1,NA,5,NA,0,1,1,1,1319,1319
53840,12111,NE DAVID DR,Local Access,2,2277,Urban,2277,Bremerton East UGA,Bremerton East UGA,1287,NA,NA,NA,1,5,NA,1,0,1,1,1287,1287
51710,9269,RIDGEMONT DR NE,Local Access,2,254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
53540,4011,NE PINEWOOD DR,Local Access,2,425,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,425,0
53540,4012,NE PINEWOOD DR,Local Access,2,176,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,176,0
53640,1644,PINENEEDLE DR NE,Local Access,2,401,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,401,0
53800,1105,NE ROSWELL DR,Local Access,2,1425,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1425,0
51540,2317,NW ALTA DR,Local Access,2,898,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,898,0
51690,500,PINE RD NE,Major Collector,2,272,Urban,272,Bremerton East UGA,Bremerton East UGA,0,NA,NA,4,NA,6,NA,0,1,1,1,0,0
51690,500,PINE RD NE,Major Collector,2,272,Urban,272,Bremerton East UGA,Bremerton East UGA,271,NA,NA,4,4,6,NA,1,1,2,2,271,542
51102,5083,GERARD PL E,Local Access,2,74,Urban,74,Bremerton East UGA,Bremerton East UGA,15,5,NA,NA,NA,5,NA,5,0,5,5,15,75
51102,9298,GERARD PL E,Local Access,2,160,Urban,160,Bremerton East UGA,Bremerton East UGA,145,5,NA,NA,NA,5,NA,5,0,5,5,145,725
51101,13339,E 29TH ST,Local Access,2,186,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,186,0
53645,14549,NE PINECONE DR,Local Access,2,213,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213,0
51690,16640,PINE RD NE,Major Collector,2,142,Urban,142,Bremerton East UGA,Bremerton East UGA,142,NA,NA,4,5,6,NA,1,1,2,2,142,284
53440,16642,NE NANTUCKET ST,Local Access,2,1198,Urban,1198,Bremerton East UGA,Bremerton East UGA,1198,5,5,NA,NA,5,NA,5,5,10,10,1198,11980
53440,16641,NE NANTUCKET ST,Local Access,2,129,Urban,129,Bremerton East UGA,Bremerton East UGA,119,5,5,NA,NA,5,NA,5,5,10,10,119,1190
53840,5080,NE DAVID DR,Local Access,2,252,Urban,252,Bremerton East UGA,Bremerton East UGA,9,NA,NA,1,1,5,NA,1,1,2,2,9,18
51690,16232,PINE RD NE,Major Collector,2,283,Urban,283,Bremerton East UGA,Bremerton East UGA,283,NA,NA,4,4,6,NA,1,1,2,2,283,566
51690,13181,PINE RD NE,Major Collector,2,224,Urban,224,Bremerton East UGA,Bremerton East UGA,224,NA,NA,4,4,6,NA,1,1,2,2,224,448
51690,5589,PINE RD NE,Major Collector,2,262,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,262,0
51690,16061,PINE RD NE,Major Collector,2,146,Urban,146,Bremerton East UGA,Bremerton East UGA,146,NA,NA,4,4,6,NA,1,1,2,2,146,292
55095,8751,NAOMI ST NW,Local Access,2,513,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,513,0
55095,19277,NAOMI ST NW,Local Access,2,198,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,198,0
