RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,PLAN_AREA,TYPE.1,DATE_ADOPT,BCC_RESOLU,islamird,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_left,shoulder_right,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
72670,11639,1ST AVE NE,Local Access,1,701,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,701,0
71930,4493,NE JONES ST,Local Access,1,407,Rural,407,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,405,NA,NA,NA,1,NA,3,0,1,1,1,405,405
71930,4493,NE JONES ST,Local Access,1,407,Rural,407,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,407,NA,NA,1,NA,NA,3,1,0,1,1,407,407
72540,11289,NE FIR ST,Local Access,1,467,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,467,0
71991,9746,DIVISION AVE NE,Local Access,1,889,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,889,0
71991,8396,DIVISION AVE NE,Local Access,1,548,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,548,0
70320,12617,AUGUSTA AVE NE,Minor Arterial,1,672,Rural,672,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,672,NA,NA,2,2,NA,4,1,1,2,2,672,1344
72740,10274,NE CENTER ST,Local Access,1,238,Rural,238,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,238,NA,NA,3,3,NA,3,5,5,10,10,238,2380
72110,10866,ANGELINE AVENUE SOUTH NE,Local Access,1,971,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,971,0
71991,3004,DIVISION AVE NE,Minor Arterial,1,220,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220,0
72040,5899,NE MCKINSTRY ST,Local Access,1,403,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,403,0
71991,9033,DIVISION AVE NE,Local Access,1,1551,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1551,0
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,297,NA,NA,2,1,NA,4,1,1,2,2,297,594
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,156,NA,NA,5,5,NA,4,5,5,10,10,156,1560
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,5.5,5,NA,4,5,5,10,10,0,0
70310,184,SUQUAMISH WAY NE,Minor Arterial,1,616,Rural,616,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,162,NA,NA,5,5,NA,4,5,5,10,10,162,1620
71870,856,NE BALZOW RD,Local Access,1,897,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,897,0
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,23,NA,NA,NA,5,NA,6,0,3,3,3,23,69
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,221,NA,NA,NA,7,NA,6,0,5,5,5,221,1105
70310,4576,SUQUAMISH WAY NE,Major Collector,1,1814,Rural,1814,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,5,5,NA,6,3,3,6,6,0,0
70310,13151,SUQUAMISH WAY NE,Minor Arterial,1,747,Rural,747,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,747,NA,NA,6,7,NA,4,5,5,10,10,747,7470
70310,13151,SUQUAMISH WAY NE,Minor Arterial,1,747,Rural,747,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,NA,1,NA,4,0,1,1,1,0,0
72200,9962,NE SOUTH ST,Local Access,1,144,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144,0
72740,1455,NE CENTER ST,Local Access,1,251,Rural,251,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,251,NA,NA,3,3,NA,3,5,5,10,10,251,2510
72740,8320,NE CENTER ST,Local Access,1,224,Rural,224,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,224,NA,NA,3,3,NA,3,5,5,10,10,224,2240
71991,13201,DIVISION AVE NE,Minor Arterial,1,208,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,208,0
71991,5850,DIVISION AVE NE,Minor Arterial,1,219,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219,0
71991,3043,DIVISION AVE NE,Minor Arterial,1,264,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,264,0
70310,996,SUQUAMISH WAY NE,Minor Arterial,1,150,Rural,150,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,150,NA,NA,6,7,NA,4,5,5,10,10,150,1500
72110,6552,ANGELINE AVENUE SOUTH NE,Local Access,1,1285,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1285,0
70320,1625,AUGUSTA AVE NE,Minor Arterial,1,680,Rural,680,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,676,NA,NA,NA,2,NA,4,0,1,1,1,676,676
70320,1625,AUGUSTA AVE NE,Minor Arterial,1,680,Rural,680,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,0,NA,NA,NA,2,NA,4,0,1,1,1,0,0
70320,1625,AUGUSTA AVE NE,Minor Arterial,1,680,Rural,680,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,680,NA,NA,2,NA,NA,4,1,0,1,1,680,680
70320,64,AUGUSTA AVE NE,Minor Arterial,1,632,Rural,632,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,632,NA,NA,2,2,NA,4,1,1,2,2,632,1264
72830,6739,ANGELINE AVE NE,Local Access,1,625,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,625,0
72790,284,HARRIS AVE NE,Local Access,1,525,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,525,0
72450,5846,BROCKTON AVE NE,Local Access,1,225,Rural,225,Suquamish,Rural Village -Type I,19990421,232-1999,1,Suquamish,17,NA,3,NA,NA,NA,3,0,5,5,5,17,85
72830,6354,ANGELINE AVE NE,Local Access,1,516,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,516,0
