RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
56430,10364,CORTEZ PL NW,Local Access,2,992,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,992,0
55831,7553,NW VERMONT CT,Local Access,2,594,Urban,594,15,Olympic High,2,Olympic High,180,NA,1,1,5,NA,NA,1,1,2,2,180,360
56409,11054,NW FAIRGROUNDS RD,Minor Arterial,2,327,Urban,327,15,Olympic High,2,Olympic High,99,NA,4,2,6,NA,NA,1,1,2,2,99,198
55275,11509,TRACYTON BLVD NW,Minor Arterial,2,1153,Urban,1153,15,Olympic High,2,Olympic High,33,NA,4,6,6,NA,NA,2,1,3,3,33,99
56403,7389,BRIDLE VIEW CT NW,Local Access,2,192,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,192,0
56401,11305,BRIDLE VALE BLVD NW,Local Access,2,471,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,471,0
56425,10545,TIBARDIS RD NW,Local Access,2,296,Urban,296,15,Olympic High,2,Olympic High,90,NA,5,NA,5,NA,NA,0,2,2,2,90,180
56435,222,NW WOODLAWN CT,Local Access,2,64,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64,0
56401,1808,BRIDLE VALE BLVD NW,Local Access,2,619,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,619,0
56420,10825,NW FIRGLADE DR,Local Access,2,351,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,351,0
55850,8311,LAURELHURST DR NW,Local Access,2,586,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,586,0
56429,13270,FAIRSIDE PL NW,Local Access,2,340,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,340,0
55890,7433,NW SHERWOOD ST,Local Access,2,879,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,879,0
56394,4364,RHODODENDRON PL NW,Local Access,2,118,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,118,0
56433,12027,NW WRANGLER CT,Local Access,2,152,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,152,0
56401,5668,BRIDLE VALE BLVD NW,Local Access,2,222,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,0
56409,12106,NW FAIRGROUNDS RD,Minor Arterial,2,332,Urban,332,15,Olympic High,2,Olympic High,31,NA,4,2,6,NA,NA,1,1,2,2,31,62
55910,15772,STAMPEDE BLVD NW,Minor Arterial,2,421,Urban,421,15,Olympic High,2,Olympic High,128,NA,4,4,6,NA,NA,1,1,2,2,128,256
55885,4046,NW PETERSON DR,Local Access,2,433,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,433,0
56450,7712,ORRFELT DR NW,Local Access,2,731,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,731,0
55910,12876,STAMPEDE BLVD NW,Minor Arterial,2,449,Urban,449,15,Olympic High,2,Olympic High,137,NA,4,4,6,NA,NA,1,1,2,2,137,274
56425,2086,TIBARDIS RD NW,Local Access,2,176,Urban,176,15,Olympic High,2,Olympic High,53,NA,5,NA,5,NA,NA,0,2,2,2,53,106
55880,7133,NW KINT DR,Local Access,2,1006,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1006,0
56425,7466,TIBARDIS RD NW,Local Access,2,693,Urban,693,15,Olympic High,2,Olympic High,210,NA,5,NA,5,NA,NA,0,2,2,2,210,420
56425,10861,TIBARDIS RD NW,Local Access,2,325,Urban,325,15,Olympic High,2,Olympic High,98,NA,5,NA,5,NA,NA,0,2,2,2,98,196
56425,8849,TIBARDIS RD NW,Local Access,2,295,Urban,295,15,Olympic High,2,Olympic High,90,NA,5,NA,5,NA,NA,0,2,2,2,90,180
56425,2021,TIBARDIS RD NW,Local Access,2,236,Urban,236,15,Olympic High,2,Olympic High,72,NA,5,NA,5,NA,NA,0,2,2,2,72,144
56426,7196,NW FOX RUN,Local Access,2,1283,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1283,0
56401,7074,BRIDLE VALE BLVD NW,Local Access,2,315,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,315,0
56410,6183,PARKDALE DR NW,Local Access,2,767,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,767,0
56428,4702,NW LESTER CT,Local Access,2,148,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148,0
56434,4633,BRONCO PL NW,Local Access,2,338,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,338,0
56401,4641,BRIDLE VALE BLVD NW,Local Access,2,307,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,307,0
56425,3948,TIBARDIS RD NW,Local Access,2,1530,Urban,1530,15,Olympic High,2,Olympic High,148,NA,5,5,5,NA,NA,2,2,4,4,148,592
56425,3948,TIBARDIS RD NW,Local Access,2,1530,Urban,1530,15,Olympic High,2,Olympic High,55,NA,5,NA,5,NA,NA,0,2,2,2,55,110
56425,2042,TIBARDIS RD NW,Local Access,2,192,Urban,192,15,Olympic High,2,Olympic High,56,NA,5,NA,5,NA,NA,0,2,2,2,56,112
56425,2042,TIBARDIS RD NW,Local Access,2,192,Urban,192,15,Olympic High,2,Olympic High,58,NA,5,NA,5,NA,NA,0,2,2,2,58,116
56425,2042,TIBARDIS RD NW,Local Access,2,192,Urban,192,15,Olympic High,2,Olympic High,47,NA,NA,5,5,NA,NA,2,0,2,2,47,94
