RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
54800,19369,NE NEVADA ST,Local Access,2,101,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,0
54800,2748,NE NEVADA ST,Local Access,2,283,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,0
5046,14171,5TH AVE NE,Local Access,2,371,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,371,0
5046,3423,5TH AVE NE,Local Access,2,389,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,389,0
54860,8769,NE ARIZONA ST,Local Access,2,258,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,258,0
54860,19382,NE ARIZONA ST,Local Access,2,234,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,234,0
54850,540,WASHINGTON AVE NE,Local Access,2,148,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,148,0
54850,6709,WASHINGTON AVE NE,Local Access,2,1561,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1561,0
57060,6855,ROY RD NE,Local Access,2,629,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,629,0
57060,7163,ROY RD NE,Local Access,2,243,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,243,0
54890,6275,UTAH ST NE,Local Access,2,259,Urban,259,15,Brownsville Elementary,2,Brownsville Elementary,79,1,1,5,NA,NA,NA,1,1,2,2,79,158
57050,2635,ROANOKE RD NE,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
57050,2588,ROANOKE RD NE,Local Access,2,279,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,279,0
57050,290,ROANOKE RD NE,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
54890,870,UTAH ST NE,Local Access,2,1571,Urban,1571,15,Brownsville Elementary,2,Brownsville Elementary,361,1,NA,5,NA,NA,NA,0,1,1,1,361,361
54890,870,UTAH ST NE,Local Access,2,1571,Urban,1571,15,Brownsville Elementary,2,Brownsville Elementary,353,NA,1,5,NA,NA,NA,1,0,1,1,353,353
54870,15151,SANDY RD NE,Local Access,2,128,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,128,0
54870,15153,SANDY RD NE,Local Access,2,156,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,0
54870,460,SANDY RD NE,Local Access,2,1351,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1351,0
50915,10643,ILLAHEE RD NE,Minor Arterial,2,141,Urban,141,15,Brownsville Elementary,2,Brownsville Elementary,43,2,2,6,NA,NA,NA,1,1,2,2,43,86
50915,1849,ILLAHEE RD NE,Minor Arterial,2,2775,Urban,2775,15,Brownsville Elementary,2,Brownsville Elementary,782,2,2,6,NA,NA,NA,1,1,2,2,782,1564
50915,1849,ILLAHEE RD NE,Minor Arterial,2,2775,Urban,2775,15,Brownsville Elementary,2,Brownsville Elementary,91,2,2,6,NA,NA,NA,1,1,2,2,91,182
50915,1459,ILLAHEE RD NE,Minor Arterial,2,882,Urban,882,15,Brownsville Elementary,2,Brownsville Elementary,268,2,2,6,NA,NA,NA,1,1,2,2,268,536
50915,1459,ILLAHEE RD NE,Minor Arterial,2,882,Urban,882,15,Brownsville Elementary,2,Brownsville Elementary,49,2,2,6,NA,NA,NA,1,1,2,2,49,98
50915,16385,ILLAHEE RD NE,Minor Arterial,2,339,Urban,339,15,Brownsville Elementary,2,Brownsville Elementary,9,2,2,6,NA,NA,NA,1,1,2,2,9,18
50915,16385,ILLAHEE RD NE,Minor Arterial,2,339,Urban,339,15,Brownsville Elementary,2,Brownsville Elementary,51,2,2,6,NA,NA,NA,1,1,2,2,51,102
50915,16385,ILLAHEE RD NE,Minor Arterial,2,339,Urban,339,15,Brownsville Elementary,2,Brownsville Elementary,103,2,2,6,NA,NA,NA,1,1,2,2,103,206
50915,12273,ILLAHEE RD NE,Minor Arterial,2,198,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,198,0
57070,12628,NE EDGAR RD,Local Access,2,277,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,277,0
57051,1926,ROANOKE PL NE,Local Access,2,212,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,212,0
54730,4722,5TH AVE NE,Local Access,2,657,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,657,0
54860,8144,NE ARIZONA ST,Local Access,2,231,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,231,0
50915,317,ILLAHEE RD NE,Minor Arterial,2,212,Urban,212,15,Brownsville Elementary,2,Brownsville Elementary,8,2,NA,6,NA,NA,NA,0,1,1,1,8,8
50915,317,ILLAHEE RD NE,Minor Arterial,2,212,Urban,212,15,Brownsville Elementary,2,Brownsville Elementary,44,NA,2,6,NA,NA,NA,1,0,1,1,44,44
54860,854,NE ARIZONA ST,Local Access,2,537,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,537,0
50915,8286,ILLAHEE RD NE,Minor Arterial,2,682,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,682,0
54845,4637,6TH AVE NE,Local Access,2,608,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,608,0
50915,12944,ILLAHEE RD NE,Minor Arterial,2,641,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,641,0
54880,11459,NE OREGON ST,Local Access,2,275,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,275,0
50915,4902,ILLAHEE RD NE,Minor Arterial,2,644,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,644,0
50915,7727,ILLAHEE RD NE,Minor Arterial,2,668,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,668,0
54840,10299,NE CALIFORNIA ST,Local Access,2,259,Urban,259,15,Brownsville Elementary,2,Brownsville Elementary,78,2,NA,5,NA,NA,NA,0,1,1,1,78,78
50915,13017,ILLAHEE RD NE,Minor Arterial,2,245,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,245,0
54840,9710,NE CALIFORNIA ST,Local Access,2,267,Urban,267,15,Brownsville Elementary,2,Brownsville Elementary,81,2,NA,5,NA,NA,NA,0,1,1,1,81,81
54870,11644,SANDY RD NE,Local Access,2,464,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,464,0
57080,19274,NE STRAND RD,Local Access,2,179,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,179,0
57080,5430,NE STRAND RD,Local Access,2,443,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,443,0
50915,1668,ILLAHEE RD NE,Minor Arterial,2,1446,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1446,0
50915,10071,ILLAHEE RD NE,Minor Arterial,2,717,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,717,0
50915,15152,ILLAHEE RD NE,Minor Arterial,2,69,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69,0
5004,11435,NE COLORADO ST,Local Access,2,356,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,356,0
