RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
56560,885,NE JOHN CARLSON RD,Major Collector,2,232,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
56346,1969,NE 73RD ST,Local Access,2,914,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,914,0
54452,630,CREEK WOOD PL NE,Local Access,2,412,Urban,412,15,Esquire Hills Elementary,2,Esquire Hills Elementary,125,NA,NA,3,5,NA,NA,1,0,1,1,125,125
56564,8624,NE SHEFFIELD PL,Local Access,2,551,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,551,0
56356,10057,NE LOYOLA ST,Local Access,2,1098,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1098,0
56349,7492,KIMI CT NE,Local Access,2,120,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120,0
56344,12436,THASOS AVE NE,Local Access,2,1071,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1071,0
54802,12024,TYEE PL NE,Local Access,2,69,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69,0
56321,10995,TROY LN NE,Local Access,2,988,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,988,0
56353,10573,TRICA AVE NE,Local Access,2,232,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,232,0
54804,5522,NE MAKAH CT,Local Access,2,159,Urban,159,15,Esquire Hills Elementary,2,Esquire Hills Elementary,48,NA,1,1,5,NA,NA,1,1,2,2,48,96
56330,4395,CLOVER BLOSSOM LN NE,Local Access,2,201,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,201,0
54803,12121,NE QUINAULT DR,Local Access,2,409,Urban,409,15,Esquire Hills Elementary,2,Esquire Hills Elementary,124,NA,1,1,5,NA,NA,1,1,2,2,124,248
56640,12070,NE GOLDEN ROD AVE,Local Access,2,270,Urban,270,15,Esquire Hills Elementary,2,Esquire Hills Elementary,82,NA,3,3,5,NA,NA,1,1,2,2,82,164
56346,5739,NE 73RD ST,Local Access,2,236,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
56640,10056,NE GOLDEN ROD AVE,Local Access,2,370,Urban,370,15,Esquire Hills Elementary,2,Esquire Hills Elementary,112,NA,3,3,5,NA,NA,1,1,2,2,112,224
56351,10548,GREVENA AVE NE,Local Access,2,801,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,801,0
56561,8973,WEMBLY AVE NE,Local Access,2,754,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,754,0
54475,6728,SUNSET AVE NE,Local Access,2,409,Urban,409,15,Esquire Hills Elementary,2,Esquire Hills Elementary,124,NA,NA,3,5,NA,NA,1,0,1,1,124,124
54475,7165,SUNSET AVE NE,Local Access,2,661,Urban,661,15,Esquire Hills Elementary,2,Esquire Hills Elementary,54,NA,1,1,5,NA,NA,1,1,2,2,54,108
54475,7165,SUNSET AVE NE,Local Access,2,661,Urban,661,15,Esquire Hills Elementary,2,Esquire Hills Elementary,46,NA,1,NA,5,NA,NA,0,1,1,1,46,46
