RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
84815,3127,KINGSVIEW LOOP NE,Local Access,2,334,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,334,0
84815,3124,KINGSVIEW LOOP NE,Local Access,2,1101,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1101,0
83730,9421,BARRETT RD NE,Local Access,2,70,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,0
83730,10686,BARRETT RD NE,Local Access,2,1376,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1376,0
86671,6038,NE WEST KINGSTON RD,Major Collector,2,111,Urban,111,15,Kingston KRL,2,Kingston KRL,33,NA,NA,6,6,6,NA,2,2,4,4,33,132
83810,2182,MARSHALL LN NE,Local Access,2,524,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,524,0
83696,605,MONTERA LOOP NE,Local Access,2,1351,Urban,1351,15,Kingston KRL,2,Kingston KRL,233,NA,3,NA,NA,5,NA,0,1,1,1,233,233
84477,1220,NE 4TH ST,Local Access,2,254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
84575,1426,NE 3RD ST,Local Access,2,341,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0
84420,7862,NE 2ND ST,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
84210,7397,BANNISTER ST NE,Local Access,2,137,Urban,137,15,Kingston KRL,2,Kingston KRL,15,NA,NA,8,7,5,NA,2,2,4,4,15,60
84210,3815,BANNISTER ST NE,Local Access,2,114,Urban,114,15,Kingston KRL,2,Kingston KRL,34,NA,NA,8,7,5,NA,2,2,4,4,34,136
84210,10967,BANNISTER ST NE,Local Access,2,281,Urban,281,15,Kingston KRL,2,Kingston KRL,85,NA,NA,8,7,5,NA,2,2,4,4,85,340
84210,228,BANNISTER ST NE,Local Access,2,190,Urban,190,15,Kingston KRL,2,Kingston KRL,57,NA,NA,8,7,5,NA,2,2,4,4,57,228
84210,4852,BANNISTER ST NE,Local Access,2,327,Urban,327,15,Kingston KRL,2,Kingston KRL,99,NA,NA,8,7,5,NA,2,2,4,4,99,396
84210,4790,BANNISTER ST NE,Local Access,2,186,Urban,186,15,Kingston KRL,2,Kingston KRL,56,NA,NA,8,7,5,NA,2,2,4,4,56,224
84810,6691,CENTRAL AVE NE,Local Access,2,269,Urban,269,15,Kingston KRL,2,Kingston KRL,82,5,NA,NA,NA,5,NA,5,0,5,5,82,410
84420,1048,NE 2ND ST,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
83730,2114,BARRETT RD NE,Local Access,2,536,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,536,0
83730,18081,BARRETT RD NE,Local Access,2,194,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,194,0
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,15,Kingston KRL,2,Kingston KRL,50,NA,NA,6,6,6,NA,2,2,4,4,50,200
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,15,Kingston KRL,2,Kingston KRL,165,NA,NA,6,6,6,NA,2,2,4,4,165,660
84210,14576,BANNISTER ST NE,Local Access,2,34,Urban,34,15,Kingston KRL,2,Kingston KRL,10,NA,NA,8,7,5,NA,2,2,4,4,10,40
83690,10337,BARBER CUT OFF RD NE,Local Access,2,332,Urban,332,15,Kingston KRL,2,Kingston KRL,101,NA,NA,6,2,5,NA,1,2,3,3,101,303
83690,12139,BARBER CUT OFF RD NE,Local Access,2,608,Urban,608,15,Kingston KRL,2,Kingston KRL,185,NA,NA,6,2,5,NA,1,2,3,3,185,555
