RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,sidewalk_right,score_left,score_right,score,the_score,the_length,w_score
31009,9661,SE MULLENIX RD,Major Collector,1,1170,Rural,1170,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,8,4,4,NA,6,NA,NA,3,3,6,6,8,48
31009,9661,SE MULLENIX RD,Major Collector,1,1170,Rural,1170,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,355,4,4,NA,6,NA,NA,3,3,6,6,355,2130
31009,2181,SE MULLENIX RD,Major Collector,1,1520,Rural,1520,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,200,4,4,NA,6,NA,NA,3,3,6,6,200,1200
31009,5393,SE MULLENIX RD,Major Collector,1,1078,Rural,1078,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,327,4,4,NA,6,NA,NA,3,3,6,6,327,1962
31009,5393,SE MULLENIX RD,Major Collector,1,1078,Rural,1078,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,92,4,4,NA,6,NA,NA,3,3,6,6,92,552
33370,662,DORMAR DR SE,Local Access,1,2042,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2042,0
33370,19226,DORMAR DR SE,Local Access,1,675,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,675,0
32950,410,LAWRENCE DR SE,Local Access,1,2009,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009,0
33231,3647,SE TIMBERIDGE CT,Local Access,1,136,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136,0
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,139,4,4,NA,6,NA,NA,3,3,6,6,139,834
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,119,5,NA,NA,6,NA,NA,0,3,3,3,119,357
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,179,NA,5,NA,6,NA,NA,3,0,3,3,179,537
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,121,NA,5,NA,6,NA,NA,3,0,3,3,121,363
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,177,5,NA,NA,6,NA,NA,0,3,3,3,177,531
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,50,5,NA,NA,6,NA,NA,0,3,3,3,50,150
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,94,5,NA,NA,6,NA,NA,0,3,3,3,94,282
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,51,NA,5,NA,6,NA,NA,3,0,3,3,51,153
31009,13058,SE MULLENIX RD,Major Collector,1,785,Rural,785,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,96,NA,5,NA,6,NA,NA,3,0,3,3,96,288
33242,6734,SE PENGUIN LN,Local Access,1,458,Rural,458,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,139,1,1,NA,3,NA,NA,1,1,2,2,139,278
33350,18241,PHILLIPS RD SE,Major Collector,2,710,Urban,710,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,33,5,5,6,NA,NA,NA,1,1,2,2,33,66
32799,12329,HORIZON LN SE,Local Access,1,522,Rural,522,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,159,2,2,NA,3,NA,NA,1,1,2,2,159,318
32799,7044,HORIZON LN SE,Local Access,1,2498,Rural,2498,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,158,2,2,NA,3,NA,NA,1,1,2,2,158,316
33350,16198,PHILLIPS RD SE,Major Collector,2,720,Urban,720,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,219,5,5,6,NA,NA,NA,1,1,2,2,219,438
31009,12384,SE MULLENIX RD,Minor Arterial,1,315,Rural,315,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,95,4,4,NA,4,NA,NA,5,5,10,10,95,950
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,4,5,5,NA,4,NA,NA,5,5,10,10,4,40
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,158,5,5,NA,4,NA,NA,5,5,10,10,158,1580
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,48,5,NA,NA,4,NA,NA,0,5,5,5,48,240
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,147,4,NA,NA,4,NA,NA,0,5,5,5,147,735
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,148,NA,4,NA,4,NA,NA,5,0,5,5,148,740
31009,12235,SE MULLENIX RD,Minor Arterial,1,674,Rural,674,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,49,NA,5,NA,4,NA,NA,5,0,5,5,49,245
31009,10191,SE MULLENIX RD,Minor Arterial,1,1186,Rural,1186,15,Mullenix Ridge Elementary,2,Mullenix Ridge Elementary,47,NA,3,NA,4,NA,NA,1,0,1,1,47,47
