RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,GMA_JURISD,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
84470,7081,OHIO AVE NE,Local Access,2,275,Urban,275,Kingston UGA,Kingston UGA,24,NA,5,NA,NA,5,NA,0,5,5,5,24,120
84470,7647,OHIO AVE NE,Local Access,2,281,Urban,281,Kingston UGA,Kingston UGA,281,NA,5,NA,NA,5,NA,0,5,5,5,281,1405
84370,12978,WASHINGTON BLVD NE,Major Collector,2,302,Urban,302,Kingston UGA,Kingston UGA,302,NA,NA,2,2,6,NA,1,1,2,2,302,604
85270,5781,LINDVOG RD NE,Local Access,2,690,Urban,690,Kingston UGA,Kingston UGA,690,NA,NA,NA,1,5,NA,1,0,1,1,690,690
85270,6090,LINDVOG RD NE,Local Access,2,1088,Urban,1088,Kingston UGA,Kingston UGA,227,NA,NA,NA,1,5,NA,1,0,1,1,227,227
85270,6090,LINDVOG RD NE,Local Access,2,1088,Urban,1088,Kingston UGA,Kingston UGA,195,NA,NA,NA,1,5,NA,1,0,1,1,195,195
85270,13152,LINDVOG RD NE,Local Access,2,634,Urban,634,Kingston UGA,Kingston UGA,634,NA,NA,NA,1,5,NA,1,0,1,1,634,634
84811,11902,KINGSVIEW CT NE,Local Access,2,136,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136,0
84420,5246,NE 2ND ST,Local Access,2,145,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,145,0
84120,663,NE OREGON ST,Local Access,2,237,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,237,0
84062,8722,NE MAINE ST,Local Access,2,166,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,0
84062,13007,NE MAINE ST,Local Access,2,384,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,384,0
84230,8794,NE CALIFORNIA ST,Local Access,2,215,Urban,215,Kingston UGA,Kingston UGA,215,NA,NA,1,1,5,NA,1,1,2,2,215,430
84814,3901,NE GEORGIA AVE,Local Access,2,369,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,369,0
84815,3127,KINGSVIEW LOOP NE,Local Access,2,334,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,334,0
84815,3124,KINGSVIEW LOOP NE,Local Access,2,1101,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1101,0
83730,9421,BARRETT RD NE,Local Access,2,70,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,0
83730,10686,BARRETT RD NE,Local Access,2,1376,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1376,0
86671,6038,NE WEST KINGSTON RD,Major Collector,2,111,Urban,111,Kingston UGA,Kingston UGA,111,NA,NA,6,6,6,NA,2,2,4,4,111,444
83810,2182,MARSHALL LN NE,Local Access,2,524,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,524,0
83696,605,MONTERA LOOP NE,Local Access,2,1351,Urban,1351,Kingston UGA,Kingston UGA,1348,NA,3,NA,NA,5,NA,0,1,1,1,1348,1348
83697,11546,SIMON PL NE,Local Access,2,230,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,230,0
84477,1220,NE 4TH ST,Local Access,2,254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0
84575,1426,NE 3RD ST,Local Access,2,341,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,341,0
84420,7862,NE 2ND ST,Local Access,2,343,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,343,0
84210,7397,BANNISTER ST NE,Local Access,2,137,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137,0
84210,3815,BANNISTER ST NE,Local Access,2,114,Urban,114,Kingston UGA,Kingston UGA,0,NA,NA,NA,7,5,NA,2,0,2,2,0,0
84210,10967,BANNISTER ST NE,Local Access,2,281,Urban,281,Kingston UGA,Kingston UGA,281,NA,NA,8,7,5,NA,2,2,4,4,281,1124
84210,228,BANNISTER ST NE,Local Access,2,190,Urban,190,Kingston UGA,Kingston UGA,190,NA,NA,8,7,5,NA,2,2,4,4,190,760
84210,4852,BANNISTER ST NE,Local Access,2,327,Urban,327,Kingston UGA,Kingston UGA,327,NA,NA,8,7,5,NA,2,2,4,4,327,1308
84210,4790,BANNISTER ST NE,Local Access,2,186,Urban,186,Kingston UGA,Kingston UGA,186,NA,NA,8,7,5,NA,2,2,4,4,186,744
84810,6691,CENTRAL AVE NE,Local Access,2,269,Urban,269,Kingston UGA,Kingston UGA,257,5,NA,NA,NA,5,NA,5,0,5,5,257,1285
84420,1048,NE 2ND ST,Local Access,2,299,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,299,0
83730,2114,BARRETT RD NE,Local Access,2,536,Urban,536,Kingston UGA,Kingston UGA,73,3,NA,NA,NA,5,NA,1,0,1,1,73,73
83730,18081,BARRETT RD NE,Local Access,2,194,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,194,0
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,Kingston UGA,Kingston UGA,0,NA,NA,6,NA,6,NA,0,2,2,2,0,0
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,Kingston UGA,Kingston UGA,388,NA,NA,6,NA,6,NA,0,2,2,2,388,776
86671,18091,NE WEST KINGSTON RD,Major Collector,2,542,Urban,542,Kingston UGA,Kingston UGA,427,NA,NA,NA,6,6,NA,2,0,2,2,427,854
84210,14576,BANNISTER ST NE,Local Access,2,34,Urban,34,Kingston UGA,Kingston UGA,34,NA,NA,8,7,5,NA,2,2,4,4,34,136
83690,10337,BARBER CUT OFF RD NE,Local Access,2,332,Urban,332,Kingston UGA,Kingston UGA,332,NA,NA,6,2,5,NA,1,2,3,3,332,996
83690,12139,BARBER CUT OFF RD NE,Local Access,2,608,Urban,608,Kingston UGA,Kingston UGA,608,NA,NA,6,2,5,NA,1,2,3,3,608,1824
86671,4876,NE WEST KINGSTON RD,Major Collector,2,916,Urban,916,Kingston UGA,Kingston UGA,916,NA,NA,6,6,6,NA,2,2,4,4,916,3664
86671,4876,NE WEST KINGSTON RD,Major Collector,2,916,Urban,916,Kingston UGA,Kingston UGA,0,NA,NA,6,NA,6,NA,0,2,2,2,0,0
86671,1726,NE WEST KINGSTON RD,Major Collector,2,286,Urban,286,Kingston UGA,Kingston UGA,286,NA,NA,6,6,6,NA,2,2,4,4,286,1144
86671,12309,NE WEST KINGSTON RD,Major Collector,2,632,Urban,632,Kingston UGA,Kingston UGA,632,NA,NA,6,6,6,NA,2,2,4,4,632,2528
86671,12309,NE WEST KINGSTON RD,Major Collector,2,632,Urban,632,Kingston UGA,Kingston UGA,0,NA,NA,6,NA,6,NA,0,2,2,2,0,0
86671,6555,NE WEST KINGSTON RD,Major Collector,2,500,Urban,500,Kingston UGA,Kingston UGA,500,NA,NA,6,6,6,NA,2,2,4,4,500,2000
86671,1728,NE WEST KINGSTON RD,Major Collector,2,356,Urban,356,Kingston UGA,Kingston UGA,356,NA,NA,6,6,6,NA,2,2,4,4,356,1424
86671,7826,NE WEST KINGSTON RD,Major Collector,2,134,Urban,134,Kingston UGA,Kingston UGA,134,NA,NA,6,6,6,NA,2,2,4,4,134,536
84810,14219,CENTRAL AVE NE,Local Access,2,336,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,336,0
86671,16474,NE WEST KINGSTON RD,Major Collector,2,57,Urban,57,Kingston UGA,Kingston UGA,57,NA,NA,6,6,6,NA,2,2,4,4,57,228
86671,2556,NE WEST KINGSTON RD,Major Collector,2,114,Urban,114,Kingston UGA,Kingston UGA,114,NA,NA,6,6,6,NA,2,2,4,4,114,456
86671,2556,NE WEST KINGSTON RD,Major Collector,2,114,Urban,114,Kingston UGA,Kingston UGA,0,NA,NA,NA,6,6,NA,2,0,2,2,0,0
83937,9920,DULAY RD NE,Local Access,2,534,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,534,0
84370,5764,WASHINGTON BLVD NE,Local Access,2,374,Urban,374,Kingston UGA,Kingston UGA,0,NA,NA,NA,2,5,NA,1,0,1,1,0,0
86685,16124,SOUTH KINGSTON RD NE,Major Collector,2,332,Urban,332,Kingston UGA,Kingston UGA,260,NA,NA,5,5,6,NA,1,1,2,2,260,520
86685,16124,SOUTH KINGSTON RD NE,Major Collector,2,332,Urban,332,Kingston UGA,Kingston UGA,71,NA,NA,5,5,6,NA,1,1,2,2,71,142
84370,6682,WASHINGTON BLVD NE,Local Access,2,549,Urban,549,Kingston UGA,Kingston UGA,3,5,NA,NA,NA,5,NA,5,0,5,5,3,15
86672,11718,NE WHITE HORSE DR,Local Access,1,362,Rural,362,Kingston UGA,Kingston UGA,102,NA,NA,NA,3,NA,3,5,0,5,5,102,510
86685,2158,SOUTH KINGSTON RD NE,Minor Collector,2,839,Urban,839,Kingston UGA,Kingston UGA,81,NA,NA,5,NA,6,NA,0,1,1,1,81,81
86685,2158,SOUTH KINGSTON RD NE,Minor Collector,2,839,Urban,839,Kingston UGA,Kingston UGA,826,NA,NA,NA,5,6,NA,1,0,1,1,826,826
86671,14193,NE WEST KINGSTON RD,Major Collector,2,24,Urban,24,Kingston UGA,Kingston UGA,24,NA,NA,6,6,6,NA,2,2,4,4,24,96
86685,11447,SOUTH KINGSTON RD NE,Minor Collector,2,317,Urban,317,Kingston UGA,Kingston UGA,317,NA,NA,5,5,6,NA,1,1,2,2,317,634
82520,11356,ANDORRA CT NE,Local Access,2,182,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,182,0
83695,10488,TUCKERMAN AVE NE,Local Access,2,146,Urban,146,Kingston UGA,Kingston UGA,111,NA,3,NA,NA,5,NA,0,1,1,1,111,111
83690,4880,BARBER CUT OFF RD NE,Local Access,2,1239,Urban,1239,Kingston UGA,Kingston UGA,1239,NA,NA,6,2,5,NA,1,2,3,3,1239,3717
83695,12764,TUCKERMAN AVE NE,Local Access,2,815,Urban,815,Kingston UGA,Kingston UGA,665,NA,3,NA,NA,5,NA,0,1,1,1,665,665
83695,6398,TUCKERMAN AVE NE,Local Access,2,257,Urban,257,Kingston UGA,Kingston UGA,242,NA,3,NA,NA,5,NA,0,1,1,1,242,242
83697,6929,SIMON PL NE,Local Access,2,285,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,285,0
86685,10990,SOUTH KINGSTON RD NE,Minor Collector,2,368,Urban,368,Kingston UGA,Kingston UGA,368,NA,NA,5,5,6,NA,1,1,2,2,368,736
86685,11947,SOUTH KINGSTON RD NE,Minor Collector,2,245,Urban,245,Kingston UGA,Kingston UGA,245,NA,NA,5,5,6,NA,1,1,2,2,245,490
82560,6575,NE GRANADA CT,Local Access,2,167,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167,0
86685,12579,SOUTH KINGSTON RD NE,Minor Collector,2,348,Urban,348,Kingston UGA,Kingston UGA,348,NA,NA,5,5,6,NA,1,1,2,2,348,696
86691,8896,KIMRE PL NE,Local Access,2,1131,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1131,0
86685,899,SOUTH KINGSTON RD NE,Minor Collector,2,206,Urban,206,Kingston UGA,Kingston UGA,206,NA,NA,5,5,6,NA,1,1,2,2,206,412
86685,4610,SOUTH KINGSTON RD NE,Minor Collector,2,776,Urban,776,Kingston UGA,Kingston UGA,776,NA,NA,5,5,6,NA,1,1,2,2,776,1552
83698,5460,NE HANNAH CT,Local Access,2,146,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146,0
82500,1703,MADURA DR NE,Local Access,2,526,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,526,0
82500,1470,MADURA DR NE,Local Access,2,687,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,687,0
82500,1198,MADURA DR NE,Local Access,2,738,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,738,0
82500,12040,MADURA DR NE,Local Access,2,718,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,718,0
86671,11287,NE WEST KINGSTON RD,Major Collector,2,1761,Urban,1761,Kingston UGA,Kingston UGA,1067,NA,NA,NA,10,6,NA,2,0,2,2,1067,2134
86671,11287,NE WEST KINGSTON RD,Major Collector,2,1761,Urban,1761,Kingston UGA,Kingston UGA,671,NA,NA,NA,10,6,NA,2,0,2,2,671,1342
86671,13321,NE WEST KINGSTON RD,Major Collector,2,826,Urban,826,Kingston UGA,Kingston UGA,460,NA,NA,NA,10,6,NA,2,0,2,2,460,920
86671,13321,NE WEST KINGSTON RD,Major Collector,2,826,Urban,826,Kingston UGA,Kingston UGA,153,NA,NA,NA,10,6,NA,2,0,2,2,153,306
86671,13321,NE WEST KINGSTON RD,Major Collector,2,826,Urban,826,Kingston UGA,Kingston UGA,87,NA,NA,NA,10,6,NA,2,0,2,2,87,174
86671,18285,NE WEST KINGSTON RD,Major Collector,2,318,Urban,318,Kingston UGA,Kingston UGA,278,NA,NA,NA,10,6,NA,2,0,2,2,278,556
86671,18285,NE WEST KINGSTON RD,Major Collector,2,318,Urban,318,Kingston UGA,Kingston UGA,26,NA,NA,NA,10,6,NA,2,0,2,2,26,52
82540,10766,NE TAVIRA CT,Local Access,2,105,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,105,0
86671,8397,NE WEST KINGSTON RD,Major Collector,2,99,Urban,99,Kingston UGA,Kingston UGA,99,NA,NA,6,6,6,NA,2,2,4,4,99,396
82490,16732,TAREE DR NE,Local Access,2,1832,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1832,0
86685,15929,SOUTH KINGSTON RD NE,Minor Collector,2,1129,Urban,1129,Kingston UGA,Kingston UGA,1015,NA,NA,5,5,6,NA,1,1,2,2,1015,2030
86685,15929,SOUTH KINGSTON RD NE,Minor Collector,2,1129,Urban,1129,Kingston UGA,Kingston UGA,114,NA,NA,5,5,6,NA,1,1,2,2,114,228
82490,5571,TAREE DR NE,Local Access,2,1228,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1228,0
82550,1661,TAREE BLVD NE,Local Access,2,1540,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1540,0
82510,5386,NE EL FERRO CT,Local Access,2,177,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177,0
83210,12709,NORMAN RD NE,Local Access,2,1283,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1283,0
86690,16040,HILLBEND LN NE,Local Access,2,798,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,798,0
86690,9452,HILLBEND LN NE,Local Access,2,798,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,798,0
86690,16042,HILLBEND LN NE,Local Access,2,247,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,247,0
86685,1951,SOUTH KINGSTON RD NE,Major Collector,2,1229,Urban,1229,Kingston UGA,Kingston UGA,1229,NA,NA,5,5,6,NA,1,1,2,2,1229,2458
86685,1951,SOUTH KINGSTON RD NE,Major Collector,2,1229,Urban,1229,Kingston UGA,Kingston UGA,0,NA,NA,5,NA,6,NA,0,1,1,1,0,0
86685,16123,SOUTH KINGSTON RD NE,Major Collector,2,327,Urban,327,Kingston UGA,Kingston UGA,323,NA,NA,5,NA,6,NA,0,1,1,1,323,323
86685,16123,SOUTH KINGSTON RD NE,Major Collector,2,327,Urban,327,Kingston UGA,Kingston UGA,327,NA,NA,NA,5,6,NA,1,0,1,1,327,327
82500,3464,MADURA DR NE,Local Access,2,847,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,847,0
86690,6241,HILLBEND LN NE,Local Access,2,248,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,248,0
83690,9406,BARBER CUT OFF RD NE,Local Access,2,3133,Urban,3133,Kingston UGA,Kingston UGA,2071,NA,NA,6,NA,5,NA,0,2,2,2,2071,4142
83690,9406,BARBER CUT OFF RD NE,Local Access,2,3133,Urban,3133,Kingston UGA,Kingston UGA,2085,NA,NA,NA,2,5,NA,1,0,1,1,2085,2085
83695,8760,TUCKERMAN AVE NE,Local Access,2,500,Urban,500,Kingston UGA,Kingston UGA,500,NA,3,NA,NA,5,NA,0,1,1,1,500,500
83695,404,TUCKERMAN AVE NE,Local Access,2,266,Urban,266,Kingston UGA,Kingston UGA,262,NA,3,NA,NA,5,NA,0,1,1,1,262,262
84650,7748,ILLINOIS AVE NE,Local Access,2,1006,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1006,0
84650,19258,ILLINOIS AVE NE,Local Access,2,734,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,734,0
84830,14583,PENNSYLVANIA AVE NE,Local Access,2,31,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,0
84810,18097,CENTRAL AVE NE,Local Access,2,57,Urban,57,Kingston UGA,Kingston UGA,53,5,NA,NA,NA,5,NA,5,0,5,5,53,265
85270,15011,LINDVOG RD NE,Local Access,2,21,Urban,21,Kingston UGA,Kingston UGA,3,NA,NA,NA,1,5,NA,1,0,1,1,3,3
82530,9568,NE MADURA PL,Local Access,2,193,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,193,0
86685,163,SOUTH KINGSTON RD NE,Minor Collector,2,28,Urban,28,Kingston UGA,Kingston UGA,28,NA,NA,5,5,6,NA,1,1,2,2,28,56
84370,15570,WASHINGTON BLVD NE,Local Access,2,22,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,0
