RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
92133,19275,SE MOOSE HILL CT,Local Access,1,660,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660,0
23830,8658,TRIVIERE TRL SE,Local Access,1,1069,Rural,1069,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,52,NA,NA,1,1,NA,3,1,1,2,2,52,104
23830,8658,TRIVIERE TRL SE,Local Access,1,1069,Rural,1069,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,326,NA,NA,1,1,NA,3,1,1,2,2,326,652
23830,19299,TRIVIERE TRL SE,Local Access,1,474,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,474,0
23830,19300,TRIVIERE TRL SE,Local Access,1,277,Rural,277,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,42,NA,NA,1,NA,NA,3,0,1,1,1,42,42
23830,19300,TRIVIERE TRL SE,Local Access,1,277,Rural,277,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,43,NA,NA,NA,1,NA,3,1,0,1,1,43,43
23650,516,SW LOTUS CT,Local Access,1,164,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,164,0
23810,8948,RIDGE RIM TRL SE,Local Access,1,1307,Rural,1307,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,398,NA,NA,2,2,NA,3,1,1,2,2,398,796
23800,8230,SW LAKEWAY BLVD,Minor Arterial,1,433,Rural,433,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,131,NA,NA,6,6,NA,4,5,5,10,10,131,1310
23845,10302,SW MARION DR,Local Access,1,225,Rural,225,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,68,NA,NA,1,1,NA,3,1,1,2,2,68,136
23800,9218,SW LAKEWAY BLVD,Minor Arterial,1,813,Rural,813,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,247,NA,NA,6,6,NA,4,5,5,10,10,247,2470
23800,9218,SW LAKEWAY BLVD,Minor Arterial,1,813,Rural,813,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,50,NA,NA,6,6,NA,4,5,5,10,10,50,500
23800,7272,SW LAKEWAY BLVD,Major Collector,1,657,Rural,657,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,199,NA,NA,6,6,NA,6,5,5,10,10,199,1990
23800,7272,SW LAKEWAY BLVD,Major Collector,1,657,Rural,657,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,51,NA,NA,6,6,NA,6,5,5,10,10,51,510
23800,7272,SW LAKEWAY BLVD,Major Collector,1,657,Rural,657,15,Burley Glenwood Elementary,2,Burley Glenwood Elementary,50,NA,NA,4,4,NA,6,3,3,6,6,50,300
