RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_left,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,score_left,score_right,score,the_score,the_length,w_score
56332,6205,NE ETON LN,Local Access,2,658,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,658,0
56331,5001,WELLINGTON LN NE,Local Access,2,527,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,527,0
55720,3482,NE FUSON RD,Local Access,2,1343,Urban,1343,15,McWilliams Park & Ride,2,McWilliams Park & Ride,340,NA,NA,4,4,5,NA,1,1,2,2,340,680
56360,1693,NE ECHO DR,Local Access,2,1254,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1254,0
56331,13143,WELLINGTON LN NE,Local Access,2,295,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,295,0
56376,862,NE COLBY CT,Local Access,2,411,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,411,0
56140,469,NE MCWILLIAMS RD,Minor Arterial,2,283,Urban,283,15,McWilliams Park & Ride,2,McWilliams Park & Ride,51,NA,NA,3,NA,6,NA,0,1,1,1,51,51
56140,469,NE MCWILLIAMS RD,Minor Arterial,2,283,Urban,283,15,McWilliams Park & Ride,2,McWilliams Park & Ride,50,NA,NA,NA,5,6,NA,1,0,1,1,50,50
56140,469,NE MCWILLIAMS RD,Minor Arterial,2,283,Urban,283,15,McWilliams Park & Ride,2,McWilliams Park & Ride,86,NA,NA,3,5,6,NA,1,1,2,2,86,172
56140,469,NE MCWILLIAMS RD,Minor Arterial,2,283,Urban,283,15,McWilliams Park & Ride,2,McWilliams Park & Ride,49,NA,NA,3,5,6,NA,1,1,2,2,49,98
51690,11802,PINE RD NE,Major Collector,2,770,Urban,770,15,McWilliams Park & Ride,2,McWilliams Park & Ride,234,NA,NA,4,4,6,NA,1,1,2,2,234,468
51690,13046,PINE RD NE,Major Collector,2,291,Urban,291,15,McWilliams Park & Ride,2,McWilliams Park & Ride,88,NA,NA,4,4,6,NA,1,1,2,2,88,176
56140,68,NE MCWILLIAMS RD,Minor Arterial,2,488,Urban,488,15,McWilliams Park & Ride,2,McWilliams Park & Ride,42,5,NA,NA,NA,6,NA,3,0,3,3,42,126
56140,68,NE MCWILLIAMS RD,Minor Arterial,2,488,Urban,488,15,McWilliams Park & Ride,2,McWilliams Park & Ride,114,NA,NA,4,4,6,NA,1,1,2,2,114,228
51690,3635,PINE RD NE,Major Collector,2,516,Urban,516,15,McWilliams Park & Ride,2,McWilliams Park & Ride,157,NA,NA,4,4,6,NA,1,1,2,2,157,314
51690,5362,PINE RD NE,Major Collector,2,292,Urban,292,15,McWilliams Park & Ride,2,McWilliams Park & Ride,81,NA,NA,4,4,6,NA,1,1,2,2,81,162
56261,2038,ST CHARLES LN NE,Local Access,2,520,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,520,0
56140,2124,NE MCWILLIAMS RD,Minor Arterial,2,91,Urban,91,15,McWilliams Park & Ride,2,McWilliams Park & Ride,27,5,NA,NA,NA,6,NA,3,0,3,3,27,81
56336,477,NE WELLSLY PL,Local Access,2,192,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,192,0
56140,13009,NE MCWILLIAMS RD,Minor Arterial,2,359,Urban,359,15,McWilliams Park & Ride,2,McWilliams Park & Ride,47,NA,NA,4,4,6,NA,1,1,2,2,47,94
56140,13009,NE MCWILLIAMS RD,Minor Arterial,2,359,Urban,359,15,McWilliams Park & Ride,2,McWilliams Park & Ride,109,NA,NA,4,4,6,NA,1,1,2,2,109,218
56142,7594,JUANITA CIR NE,Local Access,2,160,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,160,0
56142,11735,JUANITA CIR NE,Local Access,2,132,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132,0
56142,10090,JUANITA CIR NE,Local Access,2,756,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,756,0
56140,8472,NE MCWILLIAMS RD,Minor Arterial,2,365,Urban,365,15,McWilliams Park & Ride,2,McWilliams Park & Ride,51,NA,NA,3,5,6,NA,1,1,2,2,51,102
56140,8472,NE MCWILLIAMS RD,Minor Arterial,2,365,Urban,365,15,McWilliams Park & Ride,2,McWilliams Park & Ride,111,NA,NA,3,5,6,NA,1,1,2,2,111,222
56190,8894,OLD MILITARY RD NE,Major Collector,2,2020,Urban,2020,15,McWilliams Park & Ride,2,McWilliams Park & Ride,615,NA,NA,4,4,6,NA,1,1,2,2,615,1230
56560,5605,NE JOHN CARLSON RD,Major Collector,2,303,Urban,303,15,McWilliams Park & Ride,2,McWilliams Park & Ride,92,NA,NA,5,5,6,NA,1,1,2,2,92,184
51690,4616,PINE RD NE,Major Collector,2,110,Urban,110,15,McWilliams Park & Ride,2,McWilliams Park & Ride,33,NA,NA,4,4,6,NA,1,1,2,2,33,66
5086,15144,HANEBERG LN NE,Local Access,2,236,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,236,0
55720,6056,NE FUSON RD,Local Access,2,1047,Urban,1047,15,McWilliams Park & Ride,2,McWilliams Park & Ride,50,NA,NA,4,4,5,NA,1,1,2,2,50,100
