RD_LOG_ID_R,SEGMENT_ID_R,FULL_NAME_R,road_class,RUCODE,LENGTH,setting,LENGTH_R,time,id,OBJECTID,tomatch,distance,sidewalk_right,shoulder_right,shoulder_left,standard_sidewalk,standard_shoulder,sidewalk_left,score_left,score_right,score,the_score,the_length,w_score
40398,3996,SE VALE RD,Local Access,2,328,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328,0
40490,2328,HARRIS RD SE,Local Access,2,226,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,226,0
40490,19251,HARRIS RD SE,Local Access,2,191,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191,0
34286,9424,SE BANDERA CT,Local Access,2,1106,Urban,1106,15,Hidden Creek Elementary,2,Hidden Creek Elementary,336,NA,2,2,5,NA,NA,1,1,2,2,336,672
34265,7639,SE KARLI WAY,Local Access,2,942,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,942,0
34263,6878,KC PL SE,Local Access,2,285,Urban,285,15,Hidden Creek Elementary,2,Hidden Creek Elementary,38,3,NA,NA,5,NA,NA,0,1,1,1,38,38
34205,7757,SE CEDAR RD,Local Access,2,1298,Urban,1298,15,Hidden Creek Elementary,2,Hidden Creek Elementary,49,NA,5,5,5,NA,NA,2,2,4,4,49,196
34205,7757,SE CEDAR RD,Local Access,2,1298,Urban,1298,15,Hidden Creek Elementary,2,Hidden Creek Elementary,104,NA,5,5,5,NA,NA,2,2,4,4,104,416
34205,10687,SE CEDAR RD,Local Access,2,1128,Urban,1128,15,Hidden Creek Elementary,2,Hidden Creek Elementary,342,NA,5,5,5,NA,NA,2,2,4,4,342,1368
34205,10687,SE CEDAR RD,Local Access,2,1128,Urban,1128,15,Hidden Creek Elementary,2,Hidden Creek Elementary,50,NA,5,5,5,NA,NA,2,2,4,4,50,200
34262,12551,SE KRISTA ST,Local Access,2,505,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,505,0
34290,10948,CONVERSE AVE SE,Local Access,2,407,Urban,407,15,Hidden Creek Elementary,2,Hidden Creek Elementary,124,NA,6,6,5,NA,NA,2,2,4,4,124,496
34290,10661,CONVERSE AVE SE,Local Access,2,281,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,281,0
34287,11960,SE AZTEC CT,Local Access,2,216,Urban,216,15,Hidden Creek Elementary,2,Hidden Creek Elementary,65,NA,2,2,5,NA,NA,1,1,2,2,65,130
34290,11376,CONVERSE AVE SE,Local Access,2,332,Urban,332,15,Hidden Creek Elementary,2,Hidden Creek Elementary,101,NA,6,6,5,NA,NA,2,2,4,4,101,404
34460,10325,DANA DR SE,Local Access,2,276,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,276,0
34292,7239,SE CONVERSE PL,Local Access,2,174,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174,0
